count_js_steps run_datetime: 2026/07/24 21:30:57.32
target_folder: F:\FRB\tools\FRBStudio_App
exclude_folder: js\lib\mermaid
script: F:\FRB\tools\FRBStudio_App\count_js_steps.py

file                                                                            code  blank  comment  total
-----------------------------------------------------------------------------------------------------------
_archive/markdown/data_markdown.js                                               644     79        3    726
_archive/markdown/markdown_registry.js                                            10      3        2     15
_archive/markdown/viewdef_markdown.js                                            587     87        2    676
_archive_eternal/studio_overlays/default/plugins/multi_select_combo/plugin.js     25      2        3     30
studio_overlays/default/plugins/multi_select_combo/plugin.js                      89     13        3    105
studio_overlays/default/plugins/skill_summary/plugin.js                           52      6        2     60
studio_overlays/gpt_fx_lab/plugins/fx_chart_viewer/plugin.js                   19311    730      109  20150
studio_overlays/thought_evolution/plugins/graph_studio/plugin.js                1980    137        2   2119
wwwroot/app.js                                                                   397     39        5    441
wwwroot/js/actions/action_registry.js                                            612     74       14    700
wwwroot/js/actions/action_toolbar.js                                             138     25        6    169
wwwroot/js/core/data_utils.js                                                     69     13        4     86
wwwroot/js/core/field_types.js                                                   640     88       36    764
wwwroot/js/core/file_api.js                                                      264     42       18    324
wwwroot/js/core/loaders.js                                                       147     21        4    172
wwwroot/js/core/overlay_manager.js                                               222     32        4    258
wwwroot/js/core/plugin_host.js                                                   432     58        3    493
wwwroot/js/core/registry.js                                                       36     11        2     49
wwwroot/js/core/state.js                                                          47      5        7     59
wwwroot/js/core/studio_datetime.js                                                58      9        3     70
wwwroot/js/core/viewdef_context_contract.js                                      875     85        6    966
wwwroot/js/core/viewdef_resolver.js                                              484     95       19    598
wwwroot/js/markdown/data_markdown.js                                             581     72        8    661
wwwroot/js/markdown/markdown_registry.js                                          93     14        5    112
wwwroot/js/markdown/viewdef_markdown.js                                           71      7        3     81
wwwroot/js/renderers/field_control_registry.js                                    24      8        5     37
wwwroot/js/renderers/field_controls.js                                           987    162        3   1152
wwwroot/js/renderers/grid_detail.js                                              952    101       15   1068
wwwroot/js/renderers/renderer_registry.js                                          7      3        2     12
wwwroot/js/responsibilities/csv_exporter.js                                       58      8        4     70
wwwroot/js/responsibilities/grid_aggregator.js                                    87     17        4    108
wwwroot/js/responsibilities/grid_column_builder.js                                23      5        4     32
wwwroot/js/responsibilities/search_filter.js                                     110     19        5    134
wwwroot/js/runtime/detail_save.js                                                282     42       11    335
wwwroot/js/runtime/detail_subgrid_edit.js                                        957    104       29   1090
wwwroot/js/runtime/load_runtime.js                                               306     39        5    350
wwwroot/js/runtime/related_grid_view.js                                          593     62        5    660
wwwroot/js/runtime/search_state.js                                               362     39        4    405
wwwroot/js/ui/file_tree_picker.js                                                269     39        3    311
wwwroot/js/ui/page_setup.js                                                      130     17        3    150
wwwroot/js/ui/studio_dialog.js                                                   210      8        3    221
wwwroot/js/virtualData/expected_builders.js                                      482     36        7    525
wwwroot/js/virtualData/relation_builders.js                                      861     93        6    960
wwwroot/js/virtualData/virtual_data_registry.js                                   13      4        2     19
-----------------------------------------------------------------------------------------------------------
TOTAL                                                                          34577   2553      393  37523
