count_js_steps run_datetime: 2026/08/15 21:47:10.41
target_folder: F:\FRB\tools\FRBStudio_App
exclude_folder: js\lib\mermaid
script: F:\FRB\tools\FRBStudio_App\count_js_steps.py

file                                                                                    code  blank  comment  total
-------------------------------------------------------------------------------------------------------------------
_archive/markdown/data_markdown.js                                                       644     79        3    726
_archive/markdown/markdown_registry.js                                                    10      3        2     15
_archive/markdown/viewdef_markdown.js                                                    587     87        2    676
_archive_eternal/studio_overlays/default/plugins/multi_select_combo/plugin.js             25      2        3     30
studio_overlays/default/plugins/multi_select_combo/plugin.js                              89     13        3    105
studio_overlays/default/plugins/skill_summary/plugin.js                                   52      6        2     60
studio_overlays/gpt_fx_lab/plugins/fx_chart_viewer/plugin.js                           19311    730      109  20150
studio_overlays/thought_evolution/plugins/graph_studio/plugin.js                        1980    137        2   2119
wwwroot/app.js                                                                           427     43        6    476
wwwroot/js/actions/action_registry.js                                                    612     74       14    700
wwwroot/js/actions/action_toolbar.js                                                     138     25        6    169
wwwroot/js/components/data_subgrid_component.js                                          101     18        4    123
wwwroot/js/components/definition/cross_field_test_preview_component.js                   124     19        2    145
wwwroot/js/components/definition/definition_constraint_diff_component.js                  83      9        2     94
wwwroot/js/components/definition/definition_evidence_review_component.js                 209     30        3    242
wwwroot/js/components/definition/definition_target_caption_component.js                  220     34        7    261
wwwroot/js/components/definition/definition_test_preview_component.js                     99     15        5    119
wwwroot/js/components/definition/definition_verification_derived_subgrid_component.js    143     27        6    176
wwwroot/js/components/derived_subgrid_component.js                                        30      9        3     42
wwwroot/js/components/editor_component.js                                                 24      8        2     34
wwwroot/js/components/editor_component_host.js                                           119     24        2    145
wwwroot/js/components/editor_component_registry.js                                        26      7        3     36
wwwroot/js/components/studio_component.js                                                 68     16        3     87
wwwroot/js/components/subgrid_component.js                                               175     33        5    213
wwwroot/js/core/data_utils.js                                                             69     13        4     86
wwwroot/js/core/field_types.js                                                           727     94       36    857
wwwroot/js/core/file_api.js                                                              278     43       20    341
wwwroot/js/core/loaders.js                                                               147     21        4    172
wwwroot/js/core/native_host_bridge.js                                                    343     47        8    398
wwwroot/js/core/overlay_manager.js                                                       222     32        4    258
wwwroot/js/core/plugin_host.js                                                           432     58        3    493
wwwroot/js/core/registry.js                                                               36     11        2     49
wwwroot/js/core/state.js                                                                  52      6       10     68
wwwroot/js/core/studio_datetime.js                                                        58      9        3     70
wwwroot/js/core/viewdef_context_contract.js                                              875     85        6    966
wwwroot/js/core/viewdef_resolver.js                                                      484     95       19    598
wwwroot/js/markdown/data_markdown.js                                                     581     72        8    661
wwwroot/js/markdown/markdown_registry.js                                                  93     14        5    112
wwwroot/js/markdown/viewdef_markdown.js                                                   71      7        3     81
wwwroot/js/renderers/field_control_registry.js                                            24      8        5     37
wwwroot/js/renderers/field_controls.js                                                   999    162        4   1165
wwwroot/js/renderers/grid_detail.js                                                     1041    110       16   1167
wwwroot/js/renderers/renderer_registry.js                                                  7      3        2     12
wwwroot/js/responsibilities/csv_exporter.js                                               58      8        4     70
wwwroot/js/responsibilities/grid_aggregator.js                                            87     17        4    108
wwwroot/js/responsibilities/grid_column_builder.js                                        23      5        4     32
wwwroot/js/responsibilities/search_filter.js                                             110     19        5    134
wwwroot/js/runtime/detail_save.js                                                        550     80       16    646
wwwroot/js/runtime/detail_subgrid_edit.js                                                975    105       34   1114
wwwroot/js/runtime/load_runtime.js                                                       374     47        5    426
wwwroot/js/runtime/related_grid_view.js                                                  646     63        5    714
wwwroot/js/runtime/search_state.js                                                       362     39        4    405
wwwroot/js/runtime/studio_json_round_trip.js                                             439     42       19    500
wwwroot/js/services/definition/cross_field_relation_evaluator.js                         109     16        2    127
wwwroot/js/services/definition/cross_field_verification_service.js                       470     51        2    523
wwwroot/js/services/definition/definition_test_evidence_builder.js                       253     10        3    266
wwwroot/js/services/definition/definition_test_runner_core.js                            243     20        5    268
wwwroot/js/services/definition/definition_value_validator.js                             233     27        2    262
wwwroot/js/services/definition/definition_verification_common.js                         169     25        2    196
wwwroot/js/services/definition/definition_verification_service.js                         50      7        2     59
wwwroot/js/services/definition/expected_resolver.js                                       51      6        2     59
wwwroot/js/services/definition/field_contract_resolver.js                                159     18        2    179
wwwroot/js/services/definition/field_definition_target_view_resolver.js                   53      8        3     64
wwwroot/js/services/definition/runtime_field_definition_validation.js                    190     18        4    212
wwwroot/js/services/definition/test_pattern_deriver.js                                    94      9        3    106
wwwroot/js/services/option_maintenance_service.js                                        470     40        4    514
wwwroot/js/services/viewdef_maintenance_projection.js                                    177     25        5    207
wwwroot/js/ui/file_tree_picker.js                                                        269     39        3    311
wwwroot/js/ui/frb_studio_shell.js                                                        131     17        2    150
wwwroot/js/ui/page_setup.js                                                              228     27        7    262
wwwroot/js/ui/studio_dialog.js                                                           221      8        3    232
wwwroot/js/virtualData/expected_builders.js                                              482     36        7    525
wwwroot/js/virtualData/relation_builders.js                                              861     93        6    960
wwwroot/js/virtualData/virtual_data_registry.js                                           13      4        2     19
-------------------------------------------------------------------------------------------------------------------
TOTAL                                                                                  40385   3267      532  44184
